id,mean_dist_day,mean_over_speed,cluster_value
3.42E+09,53.79,23,1
3.42E+09,64.28,34,4
3.42E+09,38.41,24,1
3.42E+09,58.89,42,4
3.42E+09,44.17,33,4
3.42E+09,50.41,43,4
3.42E+09,63.63,28,1
3.42E+09,45.78,24,1
3.42E+09,55.61,20,1
3.42E+09,67.23,5,2
3.42E+09,49.69,38,4
3.42E+09,54.6,30,1
3.42E+09,40.94,59,4
3.42E+09,43.84,36,4
3.42E+09,56.36,19,1
3.42E+09,69.53,23,1
3.42E+09,51.48,19,1
3.42E+09,52.93,41,4
3.42E+09,55.52,8,2
3.42E+09,52.14,23,1
3.42E+09,62.86,21,1
3.42E+09,37.53,33,4
3.42E+09,63.47,25,1
3.42E+09,62.11,33,4
3.42E+09,43.52,25,1
3.42E+09,47.97,27,1
3.42E+09,42.27,37,4
3.42E+09,56.05,30,1
3.42E+09,62.08,37,4
3.42E+09,35.25,53,4
3.42E+09,39.81,25,1
3.42E+09,60.27,33,4
3.42E+09,53.41,22,1
3.42E+09,56.28,27,1
3.42E+09,53.31,25,1
3.42E+09,55.24,30,1
3.42E+09,44.97,29,1
3.42E+09,40.3,43,4
3.42E+09,47.18,42,4
3.42E+09,46.4,34,4
3.42E+09,35.11,15,2
3.42E+09,54.33,38,4
3.42E+09,54.59,64,4
3.42E+09,61.67,50,4
3.42E+09,52.39,19,1
3.42E+09,52.37,6,2
3.42E+09,40.84,25,1
3.42E+09,27.42,27,1
3.42E+09,44.79,31,1
3.42E+09,59.84,37,4
3.42E+09,36,45,4
3.42E+09,47.64,10,2
3.42E+09,51.85,37,4
3.42E+09,59.73,15,2
3.42E+09,42.96,37,4
3.42E+09,51.84,27,1
3.42E+09,59.62,23,1
3.42E+09,58.82,30,1
3.42E+09,50.93,30,1
3.42E+09,41.35,23,1
3.42E+09,24.58,45,4
3.42E+09,57.74,22,1
3.42E+09,38.14,33,4
3.42E+09,51.82,20,1
3.42E+09,41.37,17,1
3.42E+09,55.01,24,1
3.42E+09,64.56,53,4
3.42E+09,46.09,35,4
3.42E+09,57.81,20,1
3.42E+09,46.31,23,1
3.42E+09,66.62,37,4
3.42E+09,42.89,17,1
3.42E+09,40.82,23,1
3.42E+09,50.55,41,4
3.42E+09,40.43,40,4
3.42E+09,53.36,25,1
3.42E+09,44.83,27,1
3.42E+09,35.87,35,4
3.42E+09,46.95,23,1
3.42E+09,47.75,20,1
3.42E+09,57.12,26,1
3.42E+09,38.03,43,4
3.42E+09,54.31,45,4
3.42E+09,50.29,39,4
3.42E+09,33.6,24,1
3.42E+09,45.13,44,4
3.42E+09,31.68,31,1
3.42E+09,72.36,4,2
3.42E+09,48.43,55,4
3.42E+09,44.48,36,4
3.42E+09,56.54,20,1
3.42E+09,54.11,50,4
3.42E+09,49.51,29,1
3.42E+09,50.66,36,4
3.42E+09,61.82,23,1
3.42E+09,50.45,15,2
3.42E+09,67.7,43,4
3.42E+09,41.61,12,2
3.42E+09,39.63,31,1
3.42E+09,36.08,31,1
3.42E+09,45.18,27,1
3.42E+09,49.33,28,1
3.42E+09,48.66,45,4
3.42E+09,53.81,25,1
3.42E+09,35.57,44,4
3.42E+09,48.83,39,4
3.42E+09,69.14,40,4
3.42E+09,60.75,59,4
3.42E+09,52.01,39,4
3.42E+09,47.88,45,4
3.42E+09,40.3,30,1
3.42E+09,48.52,30,1
3.42E+09,55.06,37,4
3.42E+09,48.45,28,1
3.42E+09,58.65,40,4
3.42E+09,69.29,21,1
3.42E+09,51.7,21,1
3.42E+09,69.95,18,1
3.42E+09,53.04,37,4
3.42E+09,47.97,27,1
3.42E+09,64.01,26,1
3.42E+09,61.76,23,1
3.42E+09,49.98,28,1
3.42E+09,81.96,27,1
3.42E+09,56.56,25,1
3.42E+09,51.69,30,1
3.42E+09,54.83,40,4
3.42E+09,54.97,39,4
3.42E+09,44.07,27,1
3.42E+09,45.95,40,4
3.42E+09,42.24,22,1
3.42E+09,43.52,49,4
3.42E+09,51.33,31,1
3.42E+09,56.68,55,4
3.42E+09,51.06,24,1
3.42E+09,41.95,28,1
3.42E+09,53.56,27,1
3.42E+09,47.86,45,4
3.42E+09,43.74,34,4
3.42E+09,41.22,39,4
3.42E+09,45.82,42,4
3.42E+09,44.74,25,1
3.42E+09,53.88,30,1
3.42E+09,44.4,29,1
3.42E+09,59.01,35,4
3.42E+09,53.27,19,1
3.42E+09,45.62,25,1
3.42E+09,53.16,53,4
3.42E+09,50.91,51,4
3.42E+09,33.53,42,4
3.42E+09,46.92,33,4
3.42E+09,59.24,35,4
3.42E+09,48.37,32,1
3.42E+09,50.26,21,1
3.42E+09,38.14,30,1
3.42E+09,63.42,26,1
3.42E+09,57.46,14,2
3.42E+09,63.79,33,4
3.42E+09,58.13,30,1
3.42E+09,56.35,41,4
3.42E+09,52.95,3,2
3.42E+09,55.65,27,1
3.42E+09,29.44,34,4
3.42E+09,49.58,39,4
3.42E+09,31.3,33,4
3.42E+09,43.48,29,1
3.42E+09,48.94,34,4
3.42E+09,43.93,32,1
3.42E+09,53.83,36,4
3.42E+09,53.69,21,1
3.42E+09,60.33,8,2
3.42E+09,40.97,42,4
3.42E+09,49.29,21,1
3.42E+09,56.06,34,4
3.42E+09,66.16,32,1
3.42E+09,32.61,23,1
3.42E+09,37.37,25,1
3.42E+09,46.04,38,4
3.42E+09,57.17,33,4
3.42E+09,41.06,31,1
3.42E+09,47.21,36,4
3.42E+09,55.74,44,4
3.42E+09,56.34,25,1
3.42E+09,61.53,11,2
3.42E+09,61.4,38,4
3.42E+09,59.03,29,1
3.42E+09,26.76,22,1
3.42E+09,48.24,34,4
3.42E+09,50.84,33,4
3.42E+09,64.25,28,1
3.42E+09,23.06,15,2
3.42E+09,47.25,23,1
3.42E+09,59.19,33,4
3.42E+09,32.71,17,1
3.42E+09,48.87,25,1
3.42E+09,58.68,24,1
3.42E+09,51.16,25,1
3.42E+09,49.48,34,4
3.42E+09,16.05,36,4
3.42E+09,53.49,51,4
3.42E+09,57.19,19,1
3.42E+09,49.38,37,4
3.42E+09,38.82,16,1
3.42E+09,49.88,37,4
3.42E+09,48.81,30,1
3.42E+09,58.86,42,4
3.42E+09,45.22,39,4
3.42E+09,49.25,25,1
3.42E+09,71.53,49,4
3.42E+09,49.41,38,4
3.42E+09,63.19,21,1
3.42E+09,48.68,22,1
3.42E+09,50.11,34,4
3.42E+09,43.56,24,1
3.42E+09,49.36,23,1
3.42E+09,23.03,21,1
3.42E+09,36.14,30,1
3.42E+09,37.48,26,1
3.42E+09,46.35,35,4
3.42E+09,41.54,27,1
3.42E+09,66.05,36,4
3.42E+09,47.09,27,1
3.42E+09,33.84,35,4
3.42E+09,41.45,37,4
3.42E+09,56.09,9,2
3.42E+09,54.66,34,4
3.42E+09,53.23,47,4
3.42E+09,53.51,33,4
3.42E+09,48.56,37,4
3.42E+09,35.91,30,1
3.42E+09,58.04,28,1
3.42E+09,37.16,19,1
3.42E+09,42.45,16,1
3.42E+09,62.65,41,4
3.42E+09,51.42,35,4
3.42E+09,46.31,22,1
3.42E+09,51.36,33,4
3.42E+09,63.62,41,4
3.42E+09,56.54,39,4
3.42E+09,48.58,36,4
3.42E+09,30.37,37,4
3.42E+09,51.75,37,4
3.42E+09,61.68,24,1
3.42E+09,56.54,33,4
3.42E+09,41.22,13,2
3.42E+09,46.08,35,4
3.42E+09,53.21,39,4
3.42E+09,57.95,21,1
3.42E+09,53.4,45,4
3.42E+09,50.32,40,4
3.42E+09,62.06,37,4
3.42E+09,32.9,36,4
3.42E+09,43.48,15,2
3.42E+09,47.76,25,1
3.42E+09,41.61,4,2
3.42E+09,28.72,37,4
3.42E+09,53.37,40,4
3.42E+09,37.81,34,4
3.42E+09,48.7,46,4
3.42E+09,53.23,40,4
3.42E+09,43.47,33,4
3.42E+09,64.55,30,1
3.42E+09,59.34,38,4
3.42E+09,29.92,49,4
3.42E+09,45.67,39,4
3.42E+09,44.99,36,4
3.42E+09,51.07,13,2
3.42E+09,57.87,38,4
3.42E+09,57.9,34,4
3.42E+09,45.41,32,1
3.42E+09,66.97,33,4
3.42E+09,49.37,40,4
3.42E+09,49.54,21,1
3.42E+09,51.73,61,4
3.42E+09,29.68,30,1
3.42E+09,66.12,38,4
3.42E+09,52.68,30,1
3.42E+09,50.32,46,4
3.42E+09,63.2,40,4
3.42E+09,45.12,25,1
3.42E+09,38.69,22,1
3.42E+09,50.77,32,1
3.42E+09,48,23,1
3.42E+09,55.36,47,4
3.42E+09,53.11,48,4
3.42E+09,38.51,28,1
3.42E+09,38.96,21,1
3.42E+09,27.4,30,1
3.42E+09,34.95,35,4
3.42E+09,68.86,31,1
3.42E+09,60.4,28,1
3.42E+09,37.33,38,4
3.42E+09,59.63,24,1
3.42E+09,33.92,43,4
3.42E+09,43.98,6,2
3.42E+09,53.74,31,1
3.42E+09,45.51,33,4
3.42E+09,55.09,19,1
3.42E+09,68.87,18,1
3.42E+09,58.44,19,1
3.42E+09,43.75,19,1
3.42E+09,47.07,33,4
3.42E+09,47.89,28,1
3.42E+09,53.3,41,4
3.42E+09,57.02,37,4
3.42E+09,43.44,31,1
3.42E+09,38.49,21,1
3.42E+09,61.08,24,1
3.42E+09,62.52,41,4
3.42E+09,60.04,34,4
3.42E+09,53.63,20,1
3.42E+09,44.96,46,4
3.42E+09,43.37,50,4
3.42E+09,31.88,30,1
3.42E+09,41.01,37,4
3.42E+09,53.72,13,2
3.42E+09,48.05,18,1
3.42E+09,63.38,41,4
3.42E+09,55.92,22,1
3.42E+09,51.54,22,1
3.42E+09,39.27,34,4
3.42E+09,59.22,14,2
3.42E+09,57.77,14,2
3.42E+09,60.84,9,2
3.42E+09,63.59,21,1
3.42E+09,53.12,30,1
3.42E+09,58.89,9,2
3.42E+09,61.69,36,4
3.42E+09,49.56,24,1
3.42E+09,45.44,29,1
3.42E+09,50.28,21,1
3.42E+09,47.42,35,4
3.42E+09,45.8,28,1
3.42E+09,38.07,23,1
3.42E+09,44.13,24,1
3.42E+09,51.91,59,4
3.42E+09,51.7,36,4
3.42E+09,39.66,19,1
3.42E+09,49.73,26,1
3.42E+09,52.86,24,1
3.42E+09,55.81,29,1
3.42E+09,42.86,24,1
3.42E+09,52.31,25,1
3.42E+09,62.35,28,1
3.42E+09,32.9,16,1
3.42E+09,48.51,23,1
3.42E+09,45.33,12,2
3.42E+09,49.09,12,2
3.42E+09,37.89,14,2
3.42E+09,67.15,17,1
3.42E+09,48.01,32,1
3.42E+09,45.44,28,1
3.42E+09,52.54,22,1
3.42E+09,59.23,40,4
3.42E+09,31.85,37,4
3.42E+09,49.4,54,4
3.42E+09,51.11,25,1
3.42E+09,64.34,47,4
3.42E+09,58.32,42,4
3.42E+09,46.99,13,2
3.42E+09,65.75,34,4
3.42E+09,62.34,12,2
3.42E+09,51.33,38,4
3.42E+09,50,27,1
3.42E+09,63.06,27,1
3.42E+09,64.66,24,1
3.42E+09,54.99,36,4
3.42E+09,40.95,35,4
3.42E+09,52.29,40,4
3.42E+09,40.47,30,1
3.42E+09,59.56,42,4
3.42E+09,58,46,4
3.42E+09,55.12,34,4
3.42E+09,59.21,26,1
3.42E+09,65.54,39,4
3.42E+09,55.64,24,1
3.42E+09,62.4,40,4
3.42E+09,51.01,22,1
3.42E+09,48.83,24,1
3.42E+09,57.58,35,4
3.42E+09,47.21,34,4
3.42E+09,49.26,26,1
3.42E+09,59.51,30,1
3.42E+09,46.12,33,4
3.42E+09,51.7,37,4
3.42E+09,85.36,17,1
3.42E+09,40.04,35,4
3.42E+09,34.77,5,2
3.42E+09,45.1,4,2
3.42E+09,56,8,2
3.42E+09,38.14,5,2
3.42E+09,53.39,5,2
3.42E+09,50.55,7,2
3.42E+09,48.8,6,2
3.42E+09,55.99,3,2
3.42E+09,48.37,4,2
3.42E+09,55.19,6,2
3.42E+09,51.51,5,2
3.42E+09,43.29,9,2
3.42E+09,44.96,7,2
3.42E+09,43.45,5,2
3.42E+09,48.92,8,2
3.42E+09,52.9,6,2
3.42E+09,50.99,5,2
3.42E+09,45.08,5,2
3.42E+09,53.36,2,2
3.42E+09,53.27,4,2
3.42E+09,51.93,6,2
3.42E+09,64.96,6,2
3.42E+09,49.22,5,2
3.42E+09,59.82,7,2
3.42E+09,45.24,4,2
3.42E+09,60.4,7,2
3.42E+09,35.14,5,2
3.42E+09,43.86,6,2
3.42E+09,57.49,6,2
3.42E+09,47.98,7,2
3.42E+09,48.33,7,2
3.42E+09,52.42,3,2
3.42E+09,40.59,6,2
3.42E+09,42.54,3,2
3.42E+09,39.43,6,2
3.42E+09,67.04,4,2
3.42E+09,32.58,5,2
3.42E+09,41.75,9,2
3.42E+09,55.95,4,2
3.42E+09,49.61,4,2
3.42E+09,43.04,8,2
3.42E+09,33.5,5,2
3.42E+09,47.25,6,2
3.42E+09,47.47,7,2
3.42E+09,29.47,8,2
3.42E+09,52.55,2,2
3.42E+09,52.6,3,2
3.42E+09,58.98,6,2
3.42E+09,44.94,4,2
3.42E+09,59.72,7,2
3.42E+09,57.38,5,2
3.42E+09,46.76,6,2
3.42E+09,35.58,5,2
3.42E+09,42.55,10,2
3.42E+09,46.44,5,2
3.42E+09,29.66,1,2
3.42E+09,30.77,8,2
3.42E+09,65.73,8,2
3.42E+09,73.5,6,2
3.42E+09,41.94,3,2
3.42E+09,38.2,6,2
3.42E+09,49.47,4,2
3.42E+09,42.9,6,2
3.42E+09,44.02,4,2
3.42E+09,74.03,6,2
3.42E+09,41.73,7,2
3.42E+09,63.6,4,2
3.42E+09,59.71,4,2
3.42E+09,51.75,4,2
3.42E+09,49.68,5,2
3.42E+09,43.6,1,2
3.42E+09,60.76,6,2
3.42E+09,44.84,2,2
3.42E+09,53.99,4,2
3.42E+09,46.74,4,2
3.42E+09,48.99,7,2
3.42E+09,56.28,4,2
3.42E+09,49.19,3,2
3.42E+09,51.3,5,2
3.42E+09,62.3,6,2
3.42E+09,64.5,5,2
3.42E+09,43.31,3,2
3.42E+09,50.87,4,2
3.42E+09,33.18,1,2
3.42E+09,60.07,2,2
3.42E+09,47.48,2,2
3.42E+09,38.98,5,2
3.42E+09,61.65,4,2
3.42E+09,60.52,9,2
3.42E+09,50.87,4,2
3.42E+09,40.61,4,2
3.42E+09,61.48,3,2
3.42E+09,50.18,6,2
3.42E+09,50.89,10,2
3.42E+09,51.97,4,2
3.42E+09,52.07,5,2
3.42E+09,31.06,3,2
3.42E+09,52.44,6,2
3.42E+09,35.84,9,2
3.42E+09,52.66,7,2
3.42E+09,50.39,4,2
3.42E+09,54.05,1,2
3.42E+09,25.78,3,2
3.42E+09,51.53,8,2
3.42E+09,36.51,7,2
3.42E+09,48.2,6,2
3.42E+09,47.23,5,2
3.42E+09,60.59,6,2
3.42E+09,59.46,8,2
3.42E+09,54.7,4,2
3.42E+09,45.16,4,2
3.42E+09,44.92,3,2
3.42E+09,53.44,5,2
3.42E+09,32.54,9,2
3.42E+09,44.51,5,2
3.42E+09,62.26,6,2
3.42E+09,39.05,3,2
3.42E+09,37.68,4,2
3.42E+09,42.33,10,2
3.42E+09,66.06,4,2
3.42E+09,32.94,7,2
3.42E+09,39.67,4,2
3.42E+09,63.08,9,2
3.42E+09,73.78,4,2
3.42E+09,45.24,5,2
3.42E+09,59.71,9,2
3.42E+09,39.79,6,2
3.42E+09,35.93,6,2
3.42E+09,49.1,5,2
3.42E+09,50.22,8,2
3.42E+09,68.63,8,2
3.42E+09,62.03,6,2
3.42E+09,55.64,7,2
3.42E+09,55.4,8,2
3.42E+09,52.28,8,2
3.42E+09,39.84,1,2
3.42E+09,35.52,5,2
3.42E+09,48.79,3,2
3.42E+09,70.7,2,2
3.42E+09,61.92,4,2
3.42E+09,59.86,4,2
3.42E+09,68.37,5,2
3.42E+09,47.65,4,2
3.42E+09,46.7,0,2
3.42E+09,31.24,1,2
3.42E+09,49.47,10,2
3.42E+09,50.58,8,2
3.42E+09,38.61,6,2
3.42E+09,42.83,6,2
3.42E+09,59.72,7,2
3.42E+09,50.21,2,2
3.42E+09,38.04,7,2
3.42E+09,66.87,6,2
3.42E+09,31.07,3,2
3.42E+09,57.66,6,2
3.42E+09,50.89,5,2
3.42E+09,35.99,5,2
3.42E+09,62.2,4,2
3.42E+09,56.52,2,2
3.42E+09,63.05,1,2
3.42E+09,46.99,3,2
3.42E+09,30.45,2,2
3.42E+09,58.23,6,2
3.42E+09,37.05,5,2
3.42E+09,31.14,4,2
3.42E+09,28.91,4,2
3.42E+09,58.82,4,2
3.42E+09,34.34,3,2
3.42E+09,32.49,3,2
3.42E+09,57.76,3,2
3.42E+09,73.89,4,2
3.42E+09,38.4,8,2
3.42E+09,44.13,5,2
3.42E+09,42.26,6,2
3.42E+09,45.89,7,2
3.42E+09,62.56,8,2
3.42E+09,53.54,6,2
3.42E+09,55.4,4,2
3.42E+09,48.81,3,2
3.42E+09,51.01,7,2
3.42E+09,36.88,7,2
3.42E+09,56.42,6,2
3.42E+09,39.94,4,2
3.42E+09,38.7,8,2
3.42E+09,47.39,6,2
3.42E+09,64.67,3,2
3.42E+09,67.47,5,2
3.42E+09,49.39,6,2
3.42E+09,43.1,6,2
3.42E+09,34.03,5,2
3.42E+09,32.72,0,2
3.42E+09,60.65,5,2
3.42E+09,57.26,6,2
3.42E+09,55.1,4,2
3.42E+09,61.06,4,2
3.42E+09,38.91,4,2
3.42E+09,51.35,3,2
3.42E+09,56.87,6,2
3.42E+09,50.2,5,2
3.42E+09,55.34,6,2
3.42E+09,47.95,3,2
3.42E+09,47.47,6,2
3.42E+09,35.44,6,2
3.42E+09,31.45,8,2
3.42E+09,28.16,3,2
3.42E+09,68.57,6,2
3.42E+09,41.5,5,2
3.42E+09,53.75,8,2
3.42E+09,37.47,5,2
3.42E+09,55.63,4,2
3.42E+09,50.45,7,2
3.42E+09,51.61,3,2
3.42E+09,38.08,7,2
3.42E+09,37.26,5,2
3.42E+09,33.01,4,2
3.42E+09,45.87,6,2
3.42E+09,45.45,4,2
3.42E+09,53.15,8,2
3.42E+09,54.58,5,2
3.42E+09,53.08,2,2
3.42E+09,43.09,4,2
3.42E+09,34.46,4,2
3.42E+09,52.19,4,2
3.42E+09,55.54,5,2
3.42E+09,51.45,5,2
3.42E+09,62.7,1,2
3.42E+09,50.18,8,2
3.42E+09,53.44,6,2
3.42E+09,53.42,4,2
3.42E+09,54.52,4,2
3.42E+09,50.89,6,2
3.42E+09,64.49,9,2
3.42E+09,51.92,8,2
3.42E+09,57.49,6,2
3.42E+09,42.97,1,2
3.42E+09,43.27,4,2
3.42E+09,44.69,6,2
3.42E+09,54.16,3,2
3.42E+09,50.07,4,2
3.42E+09,48.42,5,2
3.42E+09,42.59,6,2
3.42E+09,50.69,4,2
3.42E+09,62.86,3,2
3.42E+09,51.78,2,2
3.42E+09,47.89,3,2
3.42E+09,38.05,1,2
3.42E+09,54.09,4,2
3.42E+09,38.88,4,2
3.42E+09,58,5,2
3.42E+09,42.04,5,2
3.42E+09,35.44,2,2
3.42E+09,43.73,8,2
3.42E+09,65.7,5,2
3.42E+09,43.3,5,2
3.42E+09,54.89,3,2
3.42E+09,54.69,6,2
3.42E+09,46.22,6,2
3.42E+09,47.7,5,2
3.42E+09,39.19,8,2
3.42E+09,57.11,3,2
3.42E+09,47.65,7,2
3.42E+09,38.13,2,2
3.42E+09,33.77,4,2
3.42E+09,54.62,6,2
3.42E+09,51.86,4,2
3.42E+09,56.75,6,2
3.42E+09,50.98,4,2
3.42E+09,46.99,6,2
3.42E+09,52.3,4,2
3.42E+09,47.64,5,2
3.42E+09,28.82,9,2
3.42E+09,53.48,2,2
3.42E+09,45.16,6,2
3.42E+09,56.73,4,2
3.42E+09,71.55,4,2
3.42E+09,32.1,2,2
3.42E+09,41.81,3,2
3.42E+09,52.98,3,2
3.42E+09,43.82,3,2
3.42E+09,40.81,3,2
3.42E+09,46.33,8,2
3.42E+09,37.48,6,2
3.42E+09,42.87,4,2
3.42E+09,54.26,5,2
3.42E+09,46.69,6,2
3.42E+09,48.46,6,2
3.42E+09,56.82,8,2
3.42E+09,48.73,4,2
3.42E+09,38.76,4,2
3.42E+09,38.23,2,2
3.42E+09,54.06,6,2
3.42E+09,42.25,9,2
3.42E+09,35.22,3,2
3.42E+09,43.64,5,2
3.42E+09,45.7,5,2
3.42E+09,45.41,6,2
3.42E+09,70.97,4,2
3.42E+09,36.19,4,2
3.42E+09,56.54,3,2
3.42E+09,44.52,1,2
3.42E+09,42.87,6,2
3.42E+09,33.86,5,2
3.42E+09,65.17,10,2
3.42E+09,42.75,4,2
3.42E+09,42.59,6,2
3.42E+09,45.15,3,2
3.42E+09,49.7,3,2
3.42E+09,55.39,2,2
3.42E+09,32.12,6,2
3.42E+09,60.07,6,2
3.42E+09,62.34,3,2
3.42E+09,75.84,3,2
3.42E+09,49.46,8,2
3.42E+09,58.15,7,2
3.42E+09,49.1,9,2
3.42E+09,45.97,4,2
3.42E+09,37.1,6,2
3.42E+09,55.74,6,2
3.42E+09,42.81,6,2
3.42E+09,53.28,5,2
3.42E+09,43.15,3,2
3.42E+09,54.53,4,2
3.42E+09,69.29,4,2
3.42E+09,42.99,4,2
3.42E+09,66.21,4,2
3.42E+09,50.94,5,2
3.42E+09,53.75,6,2
3.42E+09,45.17,5,2
3.42E+09,44.64,7,2
3.42E+09,39.62,7,2
3.42E+09,54.55,7,2
3.42E+09,53.05,4,2
3.42E+09,54.35,1,2
3.42E+09,48.64,6,2
3.42E+09,49.34,5,2
3.42E+09,46.83,2,2
3.42E+09,31.81,4,2
3.42E+09,34.46,3,2
3.42E+09,27.3,5,2
3.42E+09,53.95,3,2
3.42E+09,46.57,6,2
3.42E+09,33.36,6,2
3.42E+09,36.42,7,2
3.42E+09,65.73,5,2
3.42E+09,49.9,5,2
3.42E+09,56.31,3,2
3.42E+09,33.04,3,2
3.42E+09,48.62,10,2
3.42E+09,47.42,5,2
3.42E+09,68.57,4,2
3.42E+09,45.07,4,2
3.42E+09,56.07,7,2
3.42E+09,47.01,6,2
3.42E+09,51.53,6,2
3.42E+09,51.81,7,2
3.42E+09,66.83,6,2
3.42E+09,50.79,4,2
3.42E+09,46.33,2,2
3.42E+09,30.52,11,2
3.42E+09,41.67,1,2
3.42E+09,53.38,7,2
3.42E+09,60.45,6,2
3.42E+09,41.56,3,2
3.42E+09,28.94,4,2
3.42E+09,43.5,8,2
3.42E+09,56.31,6,2
3.42E+09,67.77,4,2
3.42E+09,41.93,2,2
3.42E+09,71.73,5,2
3.42E+09,57.04,0,2
3.42E+09,38.44,7,2
3.42E+09,55.64,5,2
3.42E+09,57.39,2,2
3.42E+09,60.07,3,2
3.42E+09,46.69,2,2
3.42E+09,46.59,3,2
3.42E+09,55.64,3,2
3.42E+09,46.09,4,2
3.42E+09,46.25,2,2
3.42E+09,61.75,8,2
3.42E+09,66.17,4,2
3.42E+09,58.07,6,2
3.42E+09,56.07,4,2
3.42E+09,49.81,6,2
3.42E+09,49.75,5,2
3.42E+09,35.17,9,2
3.42E+09,55.71,5,2
3.42E+09,49.71,4,2
3.42E+09,48.97,3,2
3.42E+09,61.79,5,2
3.42E+09,42.77,7,2
3.42E+09,47.63,8,2
3.42E+09,67.19,4,2
3.42E+09,52.03,3,2
3.42E+09,55.64,5,2
3.42E+09,44.09,5,2
3.42E+09,49.52,7,2
3.42E+09,49.78,4,2
3.42E+09,39.56,5,2
3.42E+09,50.54,8,2
3.42E+09,39.46,9,2
3.42E+09,41.69,5,2
3.42E+09,48.03,8,2
3.42E+09,37.91,5,2
3.42E+09,40.81,4,2
3.42E+09,58.1,2,2
3.42E+09,49.63,5,2
3.42E+09,59.36,7,2
3.42E+09,37.14,6,2
3.42E+09,49.41,6,2
3.42E+09,57.34,2,2
3.42E+09,46.58,7,2
3.42E+09,42.21,6,2
3.42E+09,41.14,2,2
3.42E+09,37.63,3,2
3.42E+09,60.88,5,2
3.42E+09,64.56,3,2
3.42E+09,58.97,6,2
3.42E+09,51.2,6,2
3.42E+09,52.84,3,2
3.42E+09,22.36,5,2
3.42E+09,60.75,2,2
3.42E+09,60.38,4,2
3.42E+09,64.18,1,2
3.42E+09,71.11,6,2
3.42E+09,31.35,3,2
3.42E+09,52.38,4,2
3.42E+09,54.01,4,2
3.42E+09,51.31,5,2
3.42E+09,65.89,3,2
3.42E+09,51.92,7,2
3.42E+09,57.51,5,2
3.42E+09,48.94,3,2
3.42E+09,34.86,6,2
3.42E+09,42.96,3,2
3.42E+09,38.96,4,2
3.42E+09,41.74,8,2
3.42E+09,66.37,5,2
3.42E+09,31.92,4,2
3.42E+09,52.07,6,2
3.42E+09,55.77,5,2
3.42E+09,59.03,4,2
3.42E+09,49.53,7,2
3.42E+09,56.58,7,2
3.42E+09,33.62,7,2
3.42E+09,70.55,6,2
3.42E+09,63.68,2,2
3.42E+09,61.78,9,2
3.42E+09,39.21,8,2
3.42E+09,37.13,5,2
3.42E+09,57.08,6,2
